lat,lon
47.4,7.68
47.4,7.96
47.4,8.24
47.4,8.52
47.4,9.64
47.4,9.92
47.4,10.2
47.4,10.48
47.4,10.76
47.4,11.04
47.4,11.32
47.4,12.16
47.4,13
47.58,7.4
47.58,7.68
47.58,7.96
47.58,8.24
47.58,8.52
47.58,8.8
47.58,9.08
47.58,9.36
47.58,9.64
47.58,9.92
47.58,10.2
47.58,10.48
47.58,10.76
47.58,11.04
47.58,11.32
47.58,11.6
47.58,11.88
47.58,12.16
47.58,12.44
47.58,12.72
47.58,13
47.76,7.4
47.76,7.68
47.76,7.96
47.76,8.24
47.76,8.52
47.76,8.8
47.76,9.08
47.76,9.36
47.76,9.64
47.76,9.92
47.76,10.2
47.76,10.48
47.76,10.76
47.76,11.04
47.76,11.32
47.76,11.6
47.76,11.88
47.76,12.16
47.76,12.44
47.76,12.72
47.76,13
47.94,7.4
47.94,7.68
47.94,7.96
47.94,8.24
47.94,8.52
47.94,8.8
47.94,9.08
47.94,9.36
47.94,9.64
47.94,9.92
47.94,10.2
47.94,10.48
47.94,10.76
47.94,11.04
47.94,11.32
47.94,11.6
47.94,11.88
47.94,12.16
47.94,12.44
47.94,12.72
47.94,13
48.12,7.4
48.12,7.68
48.12,7.96
48.12,8.24
48.12,8.52
48.12,8.8
48.12,9.08
48.12,9.36
48.12,9.64
48.12,9.92
48.12,10.2
48.12,10.48
48.12,10.76
48.12,11.04
48.12,11.32
48.12,11.6
48.12,11.88
48.12,12.16
48.12,12.44
48.12,12.72
48.12,13
48.12,13.28
48.3,7.68
48.3,7.96
48.3,8.24
48.3,8.52
48.3,8.8
48.3,9.08
48.3,9.36
48.3,9.64
48.3,9.92
48.3,10.2
48.3,10.48
48.3,10.76
48.3,11.04
48.3,11.32
48.3,11.6
48.3,11.88
48.3,12.16
48.3,12.44
48.3,12.72
48.3,13
48.3,13.28
48.3,13.56
48.48,7.68
48.48,7.96
48.48,8.24
48.48,8.52
48.48,8.8
48.48,9.08
48.48,9.36
48.48,9.64
48.48,9.92
48.48,10.2
48.48,10.48
48.48,10.76
48.48,11.04
48.48,11.32
48.48,11.6
48.48,11.88
48.48,12.16
48.48,12.44
48.48,12.72
48.48,13
48.48,13.28
48.48,13.56
48.48,13.84
48.66,7.68
48.66,7.96
48.66,8.24
48.66,8.52
48.66,8.8
48.66,9.08
48.66,9.36
48.66,9.64
48.66,9.92
48.66,10.2
48.66,10.48
48.66,10.76
48.66,11.04
48.66,11.32
48.66,11.6
48.66,11.88
48.66,12.16
48.66,12.44
48.66,12.72
48.66,13
48.66,13.28
48.66,13.56
48.66,13.84
48.84,7.68
48.84,7.96
48.84,8.24
48.84,8.52
48.84,8.8
48.84,9.08
48.84,9.36
48.84,9.64
48.84,9.92
48.84,10.2
48.84,10.48
48.84,10.76
48.84,11.04
48.84,11.32
48.84,11.6
48.84,11.88
48.84,12.16
48.84,12.44
48.84,12.72
48.84,13
48.84,13.28
48.84,13.56
48.84,13.84
49.02,6.84
49.02,7.12
49.02,7.4
49.02,7.68
49.02,7.96
49.02,8.24
49.02,8.52
49.02,8.8
49.02,9.08
49.02,9.36
49.02,9.64
49.02,9.92
49.02,10.2
49.02,10.48
49.02,10.76
49.02,11.04
49.02,11.32
49.02,11.6
49.02,11.88
49.02,12.16
49.02,12.44
49.02,12.72
49.02,13
49.02,13.28
49.02,13.56
49.02,13.84
49.2,6.56
49.2,6.84
49.2,7.12
49.2,7.4
49.2,7.68
49.2,7.96
49.2,8.24
49.2,8.52
49.2,8.8
49.2,9.08
49.2,9.36
49.2,9.64
49.2,9.92
49.2,10.2
49.2,10.48
49.2,10.76
49.2,11.04
49.2,11.32
49.2,11.6
49.2,11.88
49.2,12.16
49.2,12.44
49.2,12.72
49.2,13
49.2,13.28
49.38,6.28
49.38,6.56
49.38,6.84
49.38,7.12
49.38,7.4
49.38,7.68
49.38,7.96
49.38,8.24
49.38,8.52
49.38,8.8
49.38,9.08
49.38,9.36
49.38,9.64
49.38,9.92
49.38,10.2
49.38,10.48
49.38,10.76
49.38,11.04
49.38,11.32
49.38,11.6
49.38,11.88
49.38,12.16
49.38,12.44
49.38,12.72
49.38,13
49.56,6.28
49.56,6.56
49.56,6.84
49.56,7.12
49.56,7.4
49.56,7.68
49.56,7.96
49.56,8.24
49.56,8.52
49.56,8.8
49.56,9.08
49.56,9.36
49.56,9.64
49.56,9.92
49.56,10.2
49.56,10.48
49.56,10.76
49.56,11.04
49.56,11.32
49.56,11.6
49.56,11.88
